一|ひと-, ひと.つ, イチ|one, one radical (no.1)
費|つい.やす, つい.える, ヒ|expense, cost, spend
番|つが.い, バン|turn, number in a series
悲|かな.しい, かな.しむ, ヒ|grieve, sad, deplore
筆|ふで, ヒツ|writing brush, writing
備|そな.える, そな.わる, ビ|equip, provision
貿|ボウ|trade, exchange
無|な.い, ム|nothingness, none, ain't
報|むく.いる, ホウ|report, news, reward
満|み.ちる, み.つ, マン|full, fullness, enough
量|はか.る, リョウ|quantity, measure
遊|あそ.ぶ, あそ.ばす, ユウ|play
落|お.ちる, お.ち, ラク|fall, drop, come down
陽|ひ, ヨウ|sunshine, yang principle
葉|は, ヨウ|leaf, plane, lobe
税|ゼイ|tax, duty
路|-じ, みち, ロ|path, route, road
豊|ゆた.か, とよ, ホウ|bountiful, excellent
夢|ゆめ, ゆめ.みる, ム|dream, vision, illusion
農|ノウ|agriculture, farmers
続|つづ.く, つづ.ける, ゾク|continue, series, sequel
損|そこ.なう, そこな.う, ソン|damage, loss
想|おも.う, ソウ|concept, think, idea
戦|いくさ, たたか.う, セン|war, battle, match
勢|いきお.い, はずみ, セイ|forces, energy
数|かず, かぞ.える, スウ|number, strength, fate
置|お.く, -お.き, チ|placement, put, set
鉄|くろがね, テツ|iron
感|カン|emotion, feeling
解|と.く, と.かす, カイ|unravel, notes, key
園|その, エン|park, garden, yard, farm
愛|いと.しい, かな.しい, アイ|love, affection
塩|しお, エン|salt
極|きわ.める, きわ.まる, キョク|poles, settlement
禁|キン|prohibition, ban, forbid
罪|つみ, ザイ|guilt, sin, crime, fault
資|シ|assets, resources
準|じゅん.じる, じゅん.ずる, ジュン|semi-, correspond to
種|たね, -ぐさ, シュ|species, kind, class
雑|まじ.える, まじ.る, ザツ|miscellaneous
際|きわ, -ぎわ, サイ|occasion, side, edge
算|そろ, サン|calculate, divining
察|サツ|guess, presume, surmise
構|かま.える, かま.う, コウ|posture, build, pretend
関|せき, -ぜき, カン|connection, barrier
境|さかい, キョウ|boundary, border, region
漁|あさ.る, ギョ|fishing, fishery
演|エン|performance, act, play
慣|な.れる, な.らす, カン|accustomed, get used to
管|くだ, カン|pipe, tube
銅|あかがね, ドウ|copper
適|かな.う, テキ|suitable, occasional
精|セイ|refined, ghost, fairy
製|セイ|made in..., manufacture
静|しず-, しず.か, セイ|quiet
像|ゾウ|statue, picture, image
増|ま.す, ま.し, ゾウ|increase, add, augment
総|す.べて, すべ.て, ソウ|general, whole, all
鼻|はな, ビ|nose, snout
複|フク|duplicate, double
鳴|な.く, な.る, メイ|chirp, cry, bark, sound
綿|わた, メン|cotton
様|さま, さん, ヨウ|Esq., way, manner
領|えり, リョウ|jurisdiction, dominion
緑|みどり, リョク|green
練|ね.る, ね.り, レン|practice, gloss, train
歴|レキ|curriculum, continuation
輪|わ, リン|wheel, ring, circle
編|あ.む, -あ.み, ヘン|compilation, knit, plait
箱|はこ, ソウ|box, chest, case, bin
熱|あつ.い, ネツ|heat, temperature, fever
選|えら.ぶ, セン|elect, select, choose
